,city,temp,lat,humidity,cloud,wind
0,saint-philippe,18.3,-21.36,88.0,75.0,4.1
1,ushuaia,5.0,-54.8,93.0,40.0,1.5
2,salinas,15.41,36.68,82.0,90.0,2.6
3,ventosa,26.61,39.13,47.0,0.0,0.89
4,qaanaaq,4.28,77.48,69.0,27.0,3.09
5,mataura,8.71,-46.19,86.0,73.0,2.05
6,nikolskoye,18.04,59.7,48.0,40.0,4.0
7,butaritari,28.06,3.07,80.0,86.0,6.02
8,novouzensk,20.07,50.46,74.0,99.0,2.11
9,lebu,11.18,-37.62,95.0,100.0,4.37
10,provideniya,6.15,64.38,80.0,0.0,3.22
11,hermanus,19.44,-34.42,61.0,0.0,2.94
12,bredasdorp,15.0,-34.53,72.0,0.0,2.1
13,hilo,20.14,19.73,83.0,75.0,2.1
14,rikitea,22.91,-23.12,81.0,100.0,2.3
15,komsomolskiy,27.0,40.43,34.0,2.0,2.1
16,touros,26.0,-5.2,83.0,40.0,5.1
17,almaznyy,24.0,48.04,47.0,20.0,3.0
18,tura,25.58,25.52,87.0,77.0,1.15
19,milkovo,8.89,54.72,86.0,77.0,0.89
20,pendleton,25.5,45.67,27.0,1.0,2.1
21,koratla,27.99,18.82,73.0,57.0,1.43
22,castro,19.08,-24.79,54.0,37.0,1.82
23,jamestown,23.89,42.1,69.0,1.0,4.1
24,ngunguru,15.0,-35.62,3.0,100.0,2.68
25,erzin,29.44,36.96,84.0,16.0,6.71
26,agadez,39.06,19.75,21.0,11.0,5.62
27,balkanabat,31.97,39.51,15.0,0.0,4.85
28,mar del plata,11.08,-38.0,66.0,75.0,4.6
29,cabo san lucas,29.95,22.89,62.0,5.0,1.3
30,muyezerskiy,13.23,63.93,82.0,100.0,2.14
31,khatanga,19.43,71.97,57.0,100.0,3.73
32,saldanha,25.0,-33.01,31.0,0.0,2.6
33,busselton,8.58,-33.65,78.0,78.0,1.38
34,thompson,18.0,55.74,59.0,20.0,3.6
35,west springfield,29.39,42.11,45.0,1.0,2.6
36,iskateley,13.73,67.68,82.0,98.0,8.05
37,port elizabeth,15.0,-33.92,87.0,0.0,2.1
38,foumban,23.08,5.73,87.0,34.0,1.04
39,afmadu,,,,,
40,bluff,11.24,-46.6,79.0,98.0,5.74
41,te anau,10.22,-45.42,91.0,98.0,1.44
42,hanzhong,23.19,33.07,88.0,99.0,1.3
43,awbari,40.23,26.59,11.0,0.0,6.05
44,betafo,13.71,-19.83,76.0,16.0,2.98
45,albany,28.19,42.6,44.0,19.0,1.65
46,hobart,11.82,-42.88,54.0,40.0,3.6
47,kodinsk,17.12,58.69,75.0,100.0,1.66
48,sistranda,23.46,63.73,64.0,20.0,5.1
49,saskylakh,15.18,71.92,54.0,15.0,2.64
50,puerto ayora,21.85,-0.74,69.0,75.0,7.2
51,tiksi,4.05,71.69,90.0,4.0,1.03
52,cape town,18.39,-33.93,59.0,0.0,2.6
53,punta arenas,3.94,-53.15,86.0,75.0,3.6
54,longyearbyen,11.0,78.22,76.0,0.0,2.1
55,bongandanga,28.72,1.5,64.0,91.0,0.93
56,vostok,17.33,46.49,100.0,100.0,2.15
57,along,24.36,28.17,89.0,70.0,0.17
58,ribeira grande,25.0,38.52,65.0,20.0,3.1
59,kapaa,22.44,22.08,78.0,75.0,5.1
60,dikson,9.74,73.51,94.0,56.0,1.25
61,addis abeba,17.0,9.03,72.0,75.0,3.1
62,edgewater,31.85,28.99,74.0,20.0,3.1
63,posadas,25.51,-27.37,57.0,0.0,3.1
64,cherskiy,4.37,68.75,88.0,85.0,3.97
65,gryfino,27.18,53.25,31.0,38.0,3.58
66,magistralnyy,16.79,56.17,86.0,94.0,2.65
67,kushiro,18.1,42.98,95.0,55.0,2.59
68,havelock,32.24,34.88,59.0,20.0,2.6
69,bandarbeyla,26.49,9.49,68.0,62.0,13.82
70,malolos,25.5,14.84,94.0,100.0,1.14
71,bambous virieux,21.84,-20.34,88.0,40.0,5.7
